Temperature_Sensor_Sample_Input,Humidity_Sensor_Sample_Input,Light_Sensor_Sample_Input,CO2_Sensor_Sample_Input,HumidityRatio_Sensor_Sample_Input,Golden_Reference_Occupancy,Python_Predicted_Occupancy
212,113,87,84,179,1,1
213,113,86,87,180,1,1
213,112,86,89,179,1,1
213,109,74,90,177,1,1
215,111,73,91,179,1,1
215,113,85,94,181,1,1
213,113,80,96,181,1,1
215,113,76,96,181,1,1
215,115,71,98,183,1,1
214,116,76,99,183,1,1
214,118,72,101,185,1,1
212,121,72,103,186,1,1
212,122,71,105,186,1,1
212,125,70,109,189,1,1
212,127,69,111,190,1,1
212,130,69,113,193,1,1
212,132,68,118,195,1,1
206,130,68,121,189,1,1
208,132,68,122,193,1,1
209,134,69,123,195,1,1
208,136,71,125,195,1,1
206,137,69,128,195,1,1
206,139,74,130,197,1,1
206,141,79,131,198,1,1
206,142,80,133,199,1,1
206,142,78,136,199,1,1
207,143,74,139,201,1,1
206,143,77,140,200,1,1
206,144,75,138,201,1,1
206,146,78,140,203,1,1
206,147,78,144,204,1,1
206,149,75,144,205,1,1
206,149,73,145,205,1,1
206,148,76,147,204,1,1
206,149,76,149,205,1,1
207,150,75,149,207,1,1
210,152,75,150,210,1,1
206,152,72,152,207,1,1
206,152,72,154,208,1,1
206,154,71,155,209,1,1
206,156,70,156,211,1,1
206,155,72,157,210,1,1
204,154,69,156,208,1,1
202,155,71,157,208,1,1
206,159,70,158,214,1,1
201,160,68,164,211,1,1
199,159,68,164,210,1,1
199,160,68,162,210,1,1
199,160,68,163,210,1,1
199,160,66,163,210,1,1
199,160,65,164,210,1,1
199,161,66,164,211,1,1
196,163,68,165,211,1,1
193,165,68,165,210,1,1
193,165,67,169,211,1,1
193,165,67,170,211,1,1
193,165,68,170,211,1,1
193,166,68,171,211,1,1
193,170,68,173,214,1,1
192,171,69,173,214,1,1
193,169,69,172,213,1,1
192,172,69,173,215,1,1
193,174,70,176,217,1,1
189,174,71,177,215,1,1
191,174,70,176,216,1,1
187,174,70,179,214,1,1
188,175,70,177,215,1,1
187,179,69,176,218,1,1
187,179,70,180,218,1,1
187,178,70,181,217,1,1
187,177,70,180,216,1,1
187,178,68,181,217,1,1
187,175,69,182,215,1,1
187,176,70,180,216,1,1
186,176,69,182,215,1,1
181,171,69,179,208,1,1
183,174,67,177,211,1,1
187,174,69,178,214,1,1
182,177,69,183,214,1,1
181,176,70,183,212,1,1
181,178,70,182,213,1,1
181,177,70,183,213,1,1
181,179,69,185,214,1,1
181,179,68,187,214,1,1
181,180,68,186,215,1,1
181,182,67,186,216,1,1
181,182,67,193,216,1,1
178,182,67,191,214,1,1
178,184,68,191,217,1,1
178,184,67,191,217,1,1
180,183,66,190,217,1,1
176,186,66,191,217,1,1
178,186,66,194,218,1,1
175,187,66,195,217,1,1
175,189,66,195,219,1,1
175,185,66,193,215,1,1
175,158,66,186,194,1,1
173,154,66,173,189,1,1
170,148,65,160,183,1,1
170,155,64,163,188,1,1
169,162,64,165,194,1,1
169,159,64,166,191,1,1
168,158,64,165,189,1,1
169,158,64,165,190,1,1
169,161,64,165,192,1,1
168,162,64,168,193,1,1
166,163,64,169,192,1,1
169,163,64,172,194,1,1
166,165,64,173,195,1,1
167,163,64,172,193,1,1
166,164,64,172,193,1,1
169,165,64,172,196,1,1
166,165,64,173,194,1,1
169,164,64,173,195,1,1
164,163,64,172,191,1,1
162,163,64,172,190,1,1
162,159,64,170,187,1,1
161,156,65,169,184,1,1
161,151,65,166,180,1,1
161,149,64,164,179,1,1
162,149,65,161,179,1,1
158,145,65,160,173,1,1
