PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
18,24,11,20,17,11,0,19,34,1,1,1,3
18,24,11,20,17,11,0,19,34,1,1,1,3
15,24,7,11,15,11,1,6,23,0,0,0,3
21,24,4,3,3,11,1,52,70,1,9,10,3
53,24,26,35,32,25,1,12,41,0,0,1,1
8,18,4,5,5,11,2,12,18,1,3,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
10,42,3,22,17,13,0,12,33,0,0,1,3
15,32,3,31,15,14,0,14,25,1,17,24,3
11,16,9,23,15,19,1,4,42,0,0,1,3
62,24,12,35,22,38,2,9,60,0,0,1,1
18,24,5,22,22,11,0,12,34,0,7,1,3
10,24,8,9,10,21,1,10,19,1,1,1,3
64,48,2,10,5,19,1,2,34,1,0,1,2
10,21,2,14,11,10,1,7,41,0,0,1,4
5,17,2,12,6,16,0,13,11,0,2,0,4
15,27,4,39,35,27,1,7,24,4,7,1,3
20,82,11,50,4,32,0,19,34,0,0,1,3
16,25,1,8,4,5,1,11,49,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
10,26,10,47,0,17,0,9,34,1,1,1,4
18,35,6,6,17,4,0,154,4,1,1,1,3
18,24,11,20,17,11,0,19,34,0,0,0,3
49,24,11,26,17,11,2,15,23,1,3,1,1
8,12,0,26,20,11,0,11,40,0,0,1,4
18,24,11,20,6,11,0,19,34,0,0,0,3
11,24,3,7,4,11,0,11,34,0,0,1,4
6,18,9,18,18,13,1,7,23,0,1,1,4
18,24,11,8,15,11,1,8,7,1,1,1,3
18,24,7,10,14,11,1,1,12,0,0,0,3
74,24,15,38,16,11,3,55,41,0,1,2,1
18,24,11,20,26,11,0,19,34,0,0,0,3
8,20,7,5,9,9,1,8,18,2,1,11,3
5,24,5,9,11,11,1,9,14,0,0,0,4
16,43,16,39,43,14,3,13,40,1,0,1,3
11,22,4,25,13,10,0,8,26,1,20,8,4
97,130,51,55,64,65,3,23,94,4,18,0,0
10,20,5,23,12,10,0,7,22,1,11,7,4
21,24,4,17,1,11,1,7,16,0,0,1,3
16,24,7,7,8,12,1,7,38,0,1,1,3
8,24,5,12,8,44,1,3,10,2,3,1,4
16,26,13,49,27,15,2,26,52,4,8,13,3
14,24,16,47,19,11,1,50,51,1,20,21,3
4,8,0,2,1,1,0,2,33,1,1,1,4
36,24,32,17,34,47,2,26,20,1,5,1,1
14,24,19,61,36,11,42,120,47,4,22,11,1
13,70,37,24,50,6,1,22,47,2,11,6,2
62,24,7,14,6,11,2,85,85,5,12,20,1
12,24,3,8,9,46,1,11,42,0,0,1,4
45,100,16,34,38,16,3,40,20,0,0,1,3
17,24,2,22,2,11,1,6,59,0,0,1,3
173,24,130,28,130,11,8,4,8,0,1,3,0
7,24,3,13,8,8,1,4,33,0,1,1,4
15,22,1,9,5,7,1,19,51,0,1,0,3
40,66,6,21,22,2,2,4,18,2,6,14,1
4,24,11,10,17,11,24,19,33,0,0,0,1
15,30,6,27,15,13,1,26,43,3,17,9,3
3,8,0,2,1,3,0,16,21,0,0,0,4
10,24,2,21,10,10,0,5,25,0,3,0,4
4,8,5,19,20,4,1,1,17,2,3,1,5
6,17,0,3,3,1,1,3,33,1,1,1,4
4,8,0,3,1,1,1,2,21,1,1,1,4
17,51,4,11,11,17,0,11,44,0,0,1,4
7,12,8,11,12,4,0,8,12,1,1,1,5
16,48,8,35,8,24,0,39,40,0,2,0,3
15,31,2,31,14,13,1,12,50,0,5,2,3
14,24,4,24,6,11,0,25,60,1,21,11,3
13,26,15,22,30,11,1,15,32,2,1,1,3
18,12,4,5,17,11,3,16,34,1,1,1,3
3,8,2,16,8,1,0,22,27,0,0,0,5
7,24,5,4,7,11,0,11,20,1,1,1,4
28,24,4,10,7,9,1,7,36,7,5,1,2
12,28,28,34,32,8,2,15,20,0,2,0,3
44,83,21,31,30,60,16,10,27,1,4,17,1
43,88,61,17,53,11,1,17,18,0,0,1,2
11,24,19,59,22,11,2,71,101,0,4,9,3
18,24,11,20,17,11,3,19,34,1,1,1,3
24,34,8,54,28,14,1,26,24,0,0,0,2
17,24,11,20,17,11,0,6,23,1,1,1,3
18,30,4,25,13,11,0,7,49,2,5,3,3
25,42,9,23,17,21,1,14,26,1,9,0,2
17,24,8,18,21,11,1,7,36,0,0,0,3
88,4,21,16,19,11,3,11,19,0,1,1,0
41,24,58,46,3,11,3,12,16,0,2,1,2
15,46,10,25,26,20,1,28,45,0,3,1,3
4,14,5,15,3,12,0,5,54,0,0,0,4
9,19,16,38,29,11,36,63,52,1,17,0,0
10,25,6,36,19,7,1,7,26,2,5,5,4
5,22,1,10,5,7,0,9,76,1,1,1,4
26,24,15,53,29,11,33,15,17,2,18,10,0
18,23,17,3,5,10,3,19,78,0,1,1,3
6,11,2,9,7,14,0,13,53,0,0,1,4
10,24,4,15,9,8,1,7,20,1,3,1,4
0,2,7,0,8,21,0,3,0,1,1,1,5
18,24,11,20,17,11,3,19,34,1,1,1,3
16,40,26,33,41,24,2,19,40,1,5,1,3
9,24,13,37,22,11,30,32,1,2,19,1,1
9,17,0,12,8,8,3,29,34,0,1,1,3
22,35,4,25,13,14,1,16,95,1,3,1,3
6,12,1,9,4,2,1,6,50,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
14,24,3,8,5,11,0,3,37,0,0,1,4
44,24,6,13,0,11,1,4,28,1,1,1,1
9,24,22,41,29,11,51,112,34,2,14,0,0
18,24,11,20,12,11,0,19,34,0,0,0,3
2,10,4,6,8,8,0,8,9,0,0,0,4
18,24,11,20,17,11,3,19,34,1,1,1,3
23,54,13,25,25,44,1,9,56,0,1,1,2
14,24,9,15,19,37,1,10,15,0,0,1,4
14,24,13,37,14,11,1,31,43,1,23,22,3
12,24,12,24,17,11,1,1,23,0,1,1,4
10,25,4,29,14,11,1,10,28,0,7,1,4
22,24,6,11,13,11,1,10,41,1,1,1,3
