PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
38,64,11,23,27,7,6,22,17,0,1,1,1
20,31,1,19,9,11,1,10,73,2,4,1,3
4,7,2,5,5,4,0,7,29,1,1,1,5
18,24,11,20,17,11,3,19,34,1,1,1,3
4,24,4,19,12,20,1,6,14,0,0,1,4
13,25,4,18,15,9,1,8,33,0,1,1,3
14,35,19,21,27,14,1,11,20,0,1,1,3
18,24,11,62,17,17,3,15,12,1,1,1,3
2,11,8,14,15,11,1,14,27,0,1,1,4
18,24,11,20,13,11,0,19,34,0,0,0,3
20,24,6,8,7,1,2,5,30,3,5,1,2
14,24,3,8,5,135,0,5,44,0,2,1,3
6,24,3,14,8,6,1,4,19,0,0,1,4
9,24,3,9,10,2,1,6,26,0,0,1,4
30,47,13,4,11,1,2,34,24,0,1,1,3
19,43,20,32,40,13,1,9,41,1,1,1,3
19,29,2,21,10,8,1,41,82,3,3,5,3
9,24,2,8,4,11,0,4,26,0,0,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
4,9,2,7,4,3,1,6,34,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
9,25,2,24,11,8,0,6,48,0,7,1,3
8,15,9,21,15,8,1,12,34,1,1,1,4
14,24,5,13,3,12,0,21,49,1,0,1,4
11,17,37,1,32,7,2,4,34,0,1,0,4
14,24,4,25,18,11,1,10,49,0,0,1,3
20,38,3,54,52,10,1,4,19,3,4,10,3
9,24,6,10,15,0,1,8,20,0,2,1,4
23,24,17,49,17,11,39,90,52,21,19,163,0
11,26,7,28,16,6,1,3,25,3,7,7,4
6,12,15,11,18,10,1,10,35,0,0,2,4
5,11,0,2,1,1,1,11,40,1,1,1,4
18,25,1,11,5,3,1,8,49,1,1,1,3
6,13,5,12,9,58,3,8,9,0,1,1,3
6,16,2,23,11,10,0,6,38,0,2,1,4
5,24,6,9,12,74,1,17,18,0,1,1,4
30,55,4,20,13,11,3,4,51,1,3,1,2
11,30,7,31,17,10,1,13,38,0,4,3,3
18,24,11,20,17,11,0,19,34,0,0,0,3
18,24,5,9,6,71,1,12,32,0,0,1,3
18,24,11,20,17,11,3,19,34,0,0,0,3
27,42,21,15,16,11,1,14,7,17,3,6,2
18,24,11,20,0,11,0,19,34,0,0,0,3
22,24,2,20,12,5,1,15,43,0,1,1,3
70,24,12,34,23,37,2,12,31,1,1,1,1
33,68,22,55,38,7,1,27,79,3,5,6,1
40,60,19,33,29,29,1,18,35,2,10,1,1
5,13,3,10,8,4,0,9,16,0,1,1,4
7,14,2,17,15,15,0,2,30,1,3,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
10,20,0,2,1,1,1,1,46,1,1,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
10,18,25,9,31,18,1,4,34,0,1,0,4
3,7,0,2,4,0,1,3,15,1,1,1,4
12,24,6,10,7,11,0,6,17,0,0,1,4
11,12,4,13,11,12,1,13,42,0,0,1,4
18,24,11,20,17,11,3,19,34,1,1,1,3
27,24,10,21,20,11,2,8,31,1,1,1,2
14,26,3,27,12,7,0,11,34,1,9,1,4
18,38,13,25,29,21,1,22,48,2,4,1,3
28,51,14,23,23,20,16,15,45,2,6,14,1
39,68,103,56,116,25,3,20,30,31,39,13,2
20,38,2,31,14,15,1,17,35,1,13,4,3
6,15,1,9,7,6,1,9,33,0,0,1,4
18,24,6,18,11,8,0,2,31,0,1,1,3
31,24,6,34,2,11,1,8,77,0,0,1,2
4,24,3,8,5,22,27,2,12,1,13,1,3
12,20,6,10,11,34,0,7,37,0,0,1,4
16,28,20,26,38,10,1,4,26,3,1,17,3
32,24,21,4,20,11,2,13,22,0,0,0,2
11,20,4,14,15,8,0,5,19,5,7,5,4
18,24,11,20,17,11,3,19,34,1,1,1,3
9,24,2,18,17,11,3,5,13,0,1,1,4
11,24,0,22,17,11,0,9,11,0,0,1,4
8,20,3,14,11,21,1,12,70,0,0,1,4
28,78,29,43,27,31,0,43,33,1,9,1,1
20,36,3,25,19,23,1,14,68,1,4,1,3
7,39,3,15,11,20,3,3,33,1,2,1,4
5,13,10,4,11,3,0,19,17,2,1,1,4
22,24,6,23,13,7,1,9,45,1,59,1,3
36,53,20,27,37,19,3,14,17,0,1,2,2
7,16,4,18,15,10,1,7,24,0,0,1,4
18,24,5,8,6,79,1,8,30,1,4,1,3
6,24,16,15,2,20,0,19,34,0,0,1,5
5,14,0,3,1,2,0,1,56,1,1,1,4
14,24,3,5,2,11,1,10,33,0,0,1,3
9,25,11,8,14,8,0,30,26,0,1,2,4
13,71,20,24,37,13,4,13,60,1,3,1,1
14,17,0,29,23,11,1,18,75,0,0,1,3
7,24,1,21,17,11,1,9,23,0,0,1,4
6,22,2,26,12,6,0,14,26,1,4,1,4
10,19,3,14,9,24,1,14,42,0,10,0,3
18,24,1,8,4,4,1,6,52,1,1,1,3
8,13,7,8,13,2,0,19,18,1,1,5,4
15,56,17,4,18,5,1,37,14,0,1,1,2
18,24,11,20,17,11,3,19,34,1,1,1,4
9,20,3,22,11,9,0,7,23,0,8,1,4
14,47,13,32,22,14,1,14,68,1,1,1,3
13,27,7,35,29,20,0,8,55,0,2,1,3
18,24,11,20,17,11,3,19,34,1,1,1,3
