Workload,CPU Design,Compute Area (mm^2),Memory Area (mm^2),Total Area (mm^2),Carbon Footprint Min (gCO2e),Carbon Footprint Max (gCO2e)
Food Spoilage Detection,Serv,2.932416,11.33316,14.265576,1.161269325,1.563980535
Food Spoilage Detection,Qerv,3.683808,11.33316,15.016968,1.222435343,1.646358033
Food Spoilage Detection,Herv,4.495968,11.33316,15.829128,1.288548095,1.735397721
Cardiotocography,Serv,2.932416,21.212592,24.145008,1.965490712,2.647094132
Cardiotocography,Qerv,3.683808,21.212592,24.8964,2.02665673,2.72947163
Cardiotocography,Herv,4.495968,21.212592,25.70856,2.092769483,2.818511318
Arrhythmia Detection,Serv,2.932416,80.785392,83.717808,6.814931437,9.178249944
Arrhythmia Detection,Qerv,3.683808,80.785392,84.4692,6.876097455,9.260627442
Arrhythmia Detection,Herv,4.495968,80.785392,85.28136,6.942210208,9.349667129
Water Quality Monitoring,Serv,2.932416,3.202512,6.134928,0.49940526,0.672591697
Water Quality Monitoring,Qerv,3.683808,3.202512,6.88632,0.560571278,0.754969195
Water Quality Monitoring,Herv,4.495968,3.202512,7.69848,0.626684031,0.844008883
HVAC Control,Serv,2.932416,139.550448,142.482864,11.59861889,15.62085021
HVAC Control,Qerv,3.683808,139.550448,143.234256,11.65978491,15.70322771
HVAC Control,Herv,4.495968,139.550448,144.046416,11.72589766,15.79226739
Package Tracking,Serv,2.932416,97.251128,100.183544,8.152188105,10.97924766
Package Tracking,Qerv,3.683808,97.251128,100.934936,8.213205342,11.06142478
Package Tracking,Herv,4.495968,97.251128,101.747096,8.27916541,11.15025883
Gesture Recognition,Serv,2.932416,1237.562912,1240.495328,100.9807926,135.999454
Gesture Recognition,Qerv,3.683808,1237.562912,1241.24672,101.0419586,136.0818315
Gesture Recognition,Herv,4.495968,1237.562912,1242.05888,101.1080714,136.1708711
Air Pollution Monitoring,Serv,2.932416,185.658704,188.59112,15.35199718,20.67584517
Air Pollution Monitoring,Qerv,3.683808,185.658704,189.342512,15.4131632,20.75822267
Air Pollution Monitoring,Herv,4.495968,185.658704,190.154672,15.47927595,20.84726236
Malodor Classification,Serv,2.932416,4.575056,7.507472,0.611135291,0.823068068
Malodor Classification,Qerv,3.683808,4.575056,8.258864,0.672301309,0.905445566
Malodor Classification,Herv,4.495968,4.575056,9.071024,0.738414061,0.994485254
Smart Irrigation Control,Serv,2.932416,8.89264,11.825056,0.962602197,1.296418554
Smart Irrigation Control,Qerv,3.683808,8.89264,12.576448,1.023768215,1.378796052
Smart Irrigation Control,Herv,4.495968,8.89264,13.388608,1.089880967,1.46783574
Tree Tracking,Serv,2.932416,657.924224,660.85664,53.79611338,72.45181836
Tree Tracking,Qerv,3.683808,657.924224,661.608032,53.8572794,72.53419586
Tree Tracking,Herv,4.495968,657.924224,662.420192,53.92339215,72.62323555
