Workload,CPU Design,Compute Area (mm^2),Memory Area (mm^2),Total Area (mm^2),Carbon Footprint Min (gCO2e),Carbon Footprint Max (gCO2e)
DT-Small,Serv,2.932416,3.73808,6.670496,0.542994131,0.731296551
DT-Small,Qerv,3.683808,3.73808,7.421888,0.604149985,0.81366036
DT-Small,Herv,4.495968,3.73808,8.234048,0.670250478,0.902683537
DT-Medium,Serv,2.932416,3.9104,6.842816,0.556995858,0.750153872
DT-Medium,Qerv,3.683808,3.9104,7.594208,0.618148695,0.832513618
DT-Medium,Herv,4.495968,3.9104,8.406368,0.684245945,0.921532427
DT-Large,Serv,2.932416,4.424352,7.356768,0.598803405,0.806459664
DT-Large,Qerv,3.683808,4.424352,8.10816,0.659952801,0.888814776
DT-Large,Herv,4.495968,4.424352,8.92032,0.726046383,0.977828646
KNN-Small,Serv,2.932416,25.442344,28.37476,2.309454951,3.110340136
KNN-Small,Qerv,3.683808,25.442344,29.126152,2.370575415,3.192656283
KNN-Small,Herv,4.495968,25.442344,29.938312,2.43663984,3.281630883
KNN-Medium,Serv,2.932416,86.650408,89.582824,7.290916862,9.81930015
KNN-Medium,Qerv,3.683808,86.650408,90.334216,7.351958438,9.901510051
KNN-Medium,Herv,4.495968,86.650408,91.146376,7.41794375,9.990378104
KNN-Large,Serv,2.932416,163.160488,166.092904,13.51725713,18.20484412
KNN-Large,Qerv,3.683808,163.160488,166.844296,13.57820081,18.28692218
KNN-Large,Herv,4.495968,163.160488,167.656456,13.64408801,18.37565809
LR,Serv,2.932416,8.798696,11.731112,0.954677701,1.285745959
LR,Qerv,3.683808,8.798696,12.482504,1.015810455,1.368078657
LR,Herv,4.495968,8.798696,13.294664,1.081886489,1.457068894
MLP,Serv,2.932416,29.176672,32.109088,2.61291733,3.519038827
MLP,Qerv,3.683808,29.176672,32.86048,2.674021958,3.601333647
MLP,Herv,4.495968,29.176672,33.67264,2.740069641,3.6902857
