MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label
187,83,39,251,204,212,96,55,79,146,243,0
182,80,37,240,189,200,94,52,78,137,224,0
178,78,38,237,182,193,98,53,79,137,224,0
175,77,40,240,181,193,92,50,79,131,226,0
175,77,41,242,177,191,93,54,80,190,236,0
175,76,42,239,175,190,92,54,81,146,239,0
171,74,43,230,166,184,91,55,81,143,230,0
170,71,43,225,159,180,90,56,81,141,234,0
149,66,41,207,145,170,83,54,80,129,206,0
152,66,43,209,145,167,85,56,81,137,219,0
160,68,46,215,150,172,88,57,84,182,245,0
161,66,47,210,139,170,87,58,83,146,230,0
153,63,46,199,133,162,84,55,82,137,222,0
158,62,48,199,128,163,86,58,84,152,232,0
156,61,48,193,129,160,84,62,84,170,236,0
153,59,48,188,121,155,82,58,84,135,222,0
150,57,49,183,121,152,81,57,84,139,234,0
150,56,50,180,117,151,82,60,84,177,232,0
155,56,52,182,116,151,84,62,86,139,241,0
149,54,52,173,108,146,81,58,86,150,234,0
135,50,51,162,97,138,77,60,85,146,217,0
138,49,50,158,93,134,76,60,84,133,208,0
135,47,50,154,89,132,75,62,84,135,204,0
132,45,51,148,85,127,73,69,85,126,208,0
126,44,50,144,81,125,71,63,84,127,201,0
129,44,51,139,80,125,72,63,86,131,187,0
129,44,51,137,77,124,72,65,86,122,202,0
129,43,52,133,77,123,71,65,86,124,190,0
138,44,55,138,79,126,76,67,88,135,202,0
141,45,57,139,78,126,78,68,90,139,220,0
129,41,54,126,68,115,73,68,89,133,199,0
127,40,55,127,67,114,72,65,88,131,190,0
132,41,57,124,70,117,74,68,89,124,166,0
130,40,57,120,65,115,75,66,89,137,194,0
133,40,59,121,63,114,75,68,90,146,199,0
129,39,59,117,62,111,74,71,90,141,199,0
136,40,62,121,65,114,76,69,92,143,209,0
132,38,62,114,61,109,75,69,92,148,202,0
130,37,63,113,60,106,73,69,92,148,204,0
130,37,64,112,60,107,75,70,93,152,208,0
129,37,65,109,59,106,75,70,93,148,202,0
127,36,66,104,58,104,74,71,93,156,192,0
119,34,65,98,54,98,71,83,92,143,199,0
122,34,67,99,55,99,73,94,92,127,196,0
129,34,69,98,55,99,73,72,94,154,194,0
125,33,68,93,52,96,71,73,94,139,187,0
122,32,69,90,52,95,71,73,94,133,169,0
120,32,70,89,51,95,70,72,94,131,185,0
122,32,72,89,52,95,71,76,95,146,194,0
122,31,71,85,50,91,69,74,94,139,199,0
123,32,73,85,51,91,71,74,95,143,190,0
120,31,75,84,51,91,70,82,96,141,190,0
120,31,76,81,49,90,69,71,96,143,197,0
119,30,78,81,49,89,70,74,96,159,185,0
